member_name,ukparliament_member_id,they_work_for_you_mp_id,party_short_name,party_name,pcon19cd,pcon19nm,ukparliament_pcon_id
Andrea Jenkyns,4490,25431,Con,Conservative,E14000826,Morley and Outwood,3619
Robert Jenrick,4320,25227,Con,Conservative,E14000829,Newark,3623
Boris Johnson,1423,10999,Con,Conservative,E14001007,Uxbridge and South Ruislip,3817
Dr Caroline Johnson,4592,25597,Con,Conservative,E14000929,Sleaford and North Hykeham,3732
Dame Diana Johnson,1533,11647,Lab,Labour,E14000772,Kingston upon Hull North,3559
Gareth Johnson,3970,24803,Con,Conservative,E14000659,Dartford,3438
Kim Johnson,4824,25803,Lab,Labour,E14000793,"Liverpool, Riverside",3581
David Johnston,4761,25924,Con,Conservative,E14001015,Wantage,3827
Andrew Jones,3996,24758,Con,Conservative,E14000730,Harrogate and Knaresborough,3516
Darren Jones,4621,25637,Lab,Labour,E14000600,Bristol North West,3368
Mr David Jones,1502,11506,Con,Conservative,W07000059,Clwyd West,3421
Fay Jones,4763,25881,Con,Conservative,W07000068,Brecon and Radnorshire,3357
Gerald Jones,4501,25289,Lab,Labour,W07000071,Merthyr Tydfil and Rhymney,3602
Mr Kevan Jones,1438,11003,Lab,Labour,E14000840,North Durham,3639
Mr Marcus Jones,4024,24745,Con,Conservative,E14000868,Nuneaton,3667
Ruth Jones,4716,25746,Lab,Labour,W07000056,Newport West,3630
Sarah Jones,4631,25673,Lab,Labour,E14000654,Croydon Central,3432
Simon Jupp,4862,25911,Con,Conservative,E14000678,East Devon,3460
Mike Kane,4316,25220,Lab,Labour,E14001059,Wythenshawe and Sale East,3873
Daniel Kawczynski,1566,11817,Con,Conservative,E14000926,Shrewsbury and Atcham,3729
Alicia Kearns,4805,25906,Con,Conservative,E14000909,Rutland and Melton,3712
Gillian Keegan,4680,25670,Con,Conservative,E14000633,Chichester,3409
Barbara Keeley,1588,11943,Lab,Labour,E14001054,Worsley and Eccles South,3867
Liz Kendall,4026,24816,Lab,Labour,E14000784,Leicester West,3572
Afzal Khan,4671,25662,Lab,Labour,E14000808,"Manchester, Gorton",3597
Stephen Kinnock,4359,25297,Lab,Labour,W07000049,Aberavon,3287
Sir Greg Knight,1200,11026,Con,Conservative,E14000683,East Yorkshire,3466
Julian Knight,4410,25388,Con,Conservative,E14000931,Solihull,3734
Danny Kruger,4858,25913,Con,Conservative,E14000665,Devizes,3445
Kwasi Kwarteng,4134,24770,Con,Conservative,E14000959,Spelthorne,3764
Peter Kyle,4505,25418,Lab,Labour,E14000755,Hove,3541
Dame Eleanor Laing,36,10348,Con,Conservative,E14000693,Epping Forest,3476
Ben Lake,4630,25669,PC,Plaid Cymru,W07000064,Ceredigion,3400
Mr David Lammy,206,10678,Lab,Labour,E14001002,Tottenham,3811
John Lamont,4608,14026,Con,Conservative,S14000008,"Berwickshire, Roxburgh and Selkirk",216
Robert Largan,4852,25841,Con,Conservative,E14000748,High Peak,3534
Mrs Pauline Latham,4025,24821,Con,Conservative,E14000814,Mid Derbyshire,3604
Ian Lavery,4139,24963,Lab,Labour,E14001014,Wansbeck,3826
Chris Law,4403,25270,SNP,Scottish National Party,S14000016,Dundee West,927
Kim Leadbeater,4923,26040,Lab,Labour,E14000548,Batley and Spen,3309
Andrea Leadsom,4117,24829,Con,Conservative,E14000942,South Northamptonshire,3747
Sir Edward Leigh,345,10352,Con,Conservative,E14000707,Gainsborough,3492
Ian Levy,4749,25791,Con,Conservative,E14000575,Blyth Valley,3341
Mrs Emma Lewell-Buck,4277,25181,Lab,Labour,E14000944,South Shields,3749
Andrew Lewer,4659,25686,Con,Conservative,E14000862,Northampton South,3661
Brandon Lewis,4009,24879,Con,Conservative,E14000717,Great Yarmouth,3503
Clive Lewis,4500,25356,Lab,Labour,E14000864,Norwich South,3663
Dr Julian Lewis,54,10358,Con,Conservative,E14000827,New Forest East,3621
Mr Ian Liddell-Grainger,1396,11048,Con,Conservative,E14000595,Bridgwater and West Somerset,3363
Simon Lightwood,4943,26085,Lab,Labour (Co-op),E14001009,Wakefield,3821
David Linden,4640,25677,SNP,Scottish National Party,S14000030,Glasgow East,1204
Tony Lloyd,450,10367,Lab,Labour,E14000897,Rochdale,3700
Carla Lockhart,4857,25562,DUP,Democratic Unionist Party,N06000017,Upper Bann,3816
Chris Loder,4751,25918,Con,Conservative,E14001031,West Dorset,3843
Mark Logan,4815,25886,Con,Conservative,E14000578,Bolton North East,3344
Rebecca Long Bailey,4396,25368,Lab,Labour,E14000911,Salford and Eccles,3714
Marco Longhi,4789,25917,Con,Conservative,E14000671,Dudley North,3451
Julia Lopez,4647,25652,Con,Conservative,E14000751,Hornchurch and Upminster,3537
Jack Lopresti,3989,24716,Con,Conservative,E14000702,Filton and Bradley Stoke,3486
Mr Jonathan Lord,4090,24884,Con,Conservative,E14001047,Woking,3860
Tim Loughton,114,10371,Con,Conservative,E14000682,East Worthing and Shoreham,3465
Caroline Lucas,3930,24910,Green,Green Party,E14000598,"Brighton, Pavilion",3366
Holly Lynch,4472,25434,Lab,Labour,E14000723,Halifax,3509
Kenny MacAskill,4772,14031,Alba,Alba Party,S14000020,East Lothian,991
Craig Mackinlay,4529,25437,Con,Conservative,E14000948,South Thanet,3753
Cherilyn Mackrory,4758,25802,Con,Conservative,E14001003,Truro and Falmouth,3812
Rachel Maclean,4668,25692,Con,Conservative,E14000892,Redditch,3694
Angus Brendan MacNeil,1546,12004,SNP,Scottish National Party,S14000027,Na h-Eileanan an Iar,2025
Justin Madders,4418,25378,Lab,Labour,E14000688,Ellesmere Port and Neston,3471
Mr Khalid Mahmood,1392,11087,Lab,Labour,E14000566,"Birmingham, Perry Barr",3331
Shabana Mahmood,3914,24788,Lab,Labour,E14000564,"Birmingham, Ladywood",3329
Alan Mak,4484,25285,Con,Conservative,E14000736,Havant,3522
Seema Malhotra,4253,25150,Lab,Labour (Co-op),E14000701,Feltham and Heston,3484
Kit Malthouse,4495,25346,Con,Conservative,E14000857,North West Hampshire,3656
Anthony Mangnall,4762,25868,Con,Conservative,E14001001,Totnes,3810
Scott Mann,4496,25383,Con,Conservative,E14000837,North Cornwall,3635
Julie Marson,4768,25879,Con,Conservative,E14000744,Hertford and Stortford,3530
Rachael Maskell,4471,25433,Lab,Labour (Co-op),E14001061,York Central,3876
Paul Maskey,4245,13904,SF,Sinn Féin,N06000004,Belfast West,3317
Christian Matheson,4408,25411,Lab,Labour,E14000640,City of Chester,3416
Mrs Theresa May,8,10426,Con,Conservative,E14000803,Maidenhead,3592
Jerome Mayhew,4739,25904,Con,Conservative,E14000603,Broadland,3371
Paul Maynard,3926,24764,Con,Conservative,E14000572,Blackpool North and Cleveleys,3337
Steve McCabe,298,10377,Lab,Labour,E14000567,"Birmingham, Selly Oak",3332
Kerry McCarthy,1491,11455,Lab,Labour,E14000599,Bristol East,3367
Jason McCartney,3953,24887,Con,Conservative,E14000645,Colne Valley,3423
Karl McCartney,4028,24790,Con,Conservative,E14000792,Lincoln,3580
Siobhain McDonagh,193,10381,Lab,Labour,E14000823,Mitcham and Morden,3614
Andy McDonald,4269,25169,Lab,Labour,E14000819,Middlesbrough,3610
Stewart Malcolm McDonald,4461,25322,SNP,Scottish National Party,S14000034,Glasgow South,1208
Stuart C McDonald,4393,25301,SNP,Scottish National Party,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",804
John McDonnell,178,10383,Lab,Labour,E14000737,Hayes and Harlington,3523
Pat McFadden,1587,11936,Lab,Labour,E14001050,Wolverhampton South East,3863
Conor McGinn,4458,25423,Lab,Labour,E14000962,St Helens North,3767
Alison McGovern,4083,24897,Lab,Labour,E14001043,Wirral South,3856
Catherine McKinnell,4125,24818,Lab,Labour,E14000833,Newcastle upon Tyne North,3627
Anne McLaughlin,4437,14146,SNP,Scottish National Party,S14000032,Glasgow North East,1206
Jim McMahon,4569,25475,Lab,Labour (Co-op),E14000871,Oldham West and Royton,3671
Anna McMorrin,4632,25647,Lab,Labour,W07000051,Cardiff North,3390
John McNally,4424,25271,SNP,Scottish National Party,S14000028,Falkirk,1115
Stephen McPartland,4093,24888,Con,Conservative,E14000968,Stevenage,3773
Esther McVey,4084,24882,Con,Conservative,E14000987,Tatton,3795
Ian Mearns,4000,24919,Lab,Labour,E14000709,Gateshead,3494
Mark Menzies,3998,24804,Con,Conservative,E14000706,Fylde,3491
Johnny Mercer,4485,25367,Con,Conservative,E14000879,"Plymouth, Moor View",3679
Huw Merriman,4442,25426,Con,Conservative,E14000557,Bexhill and Battle,3322
Stephen Metcalfe,4092,24749,Con,Conservative,E14000933,South Basildon and East Thurrock,3737
Edward Miliband,1510,11545,Lab,Labour,E14000669,Doncaster North,3449
Robin Millar,4746,25832,Con,Conservative,W07000058,Aberconwy,3288
Dame Maria Miller,1480,11389,Con,Conservative,E14000545,Basingstoke,3306
Amanda Milling,4454,25350,Con,Conservative,E14000618,Cannock Chase,3387
Nigel Mills,4136,24965,Con,Conservative,E14000533,Amber Valley,3293
Navendu Mishra,4811,25836,Lab,Labour,E14000969,Stockport,3774
Mr Andrew Mitchell,1211,11115,Con,Conservative,E14000985,Sutton Coldfield,3791
Mr Gagan Mohindra,4804,25920,Con,Conservative,E14000951,South West Hertfordshire,3756
Francie Molloy,4274,13836,SF,Sinn Féin,N06000010,Mid Ulster,3608
Carol Monaghan,4443,25406,SNP,Scottish National Party,S14000033,Glasgow North West,1207
Damien Moore,4669,25630,Con,Conservative,E14000958,Southport,3763
Robbie Moore,4861,25922,Con,Conservative,E14000766,Keighley,3553
Layla Moran,4656,25689,LD,Liberal Democrat,E14000874,Oxford West and Abingdon,3674
Penny Mordaunt,4017,24938,Con,Conservative,E14000883,Portsmouth North,3684
Jessica Morden,1548,11732,Lab,Labour,W07000055,Newport East,3629
Helen Morgan,4934,26056,LD,Liberal Democrat,E14000849,North Shropshire,3648
Stephen Morgan,4653,25658,Lab,Labour,E14000884,Portsmouth South,3685
Anne Marie Morris,4249,24912,Con,Conservative,E14000835,Newton Abbot,3632
David Morris,4135,24966,Con,Conservative,E14000825,Morecambe and Lunesdale,3618
Grahame Morris,3973,24715,Lab,Labour,E14000677,Easington,3458
James Morris,3992,24855,Con,Conservative,E14000722,Halesowen and Rowley Regis,3508
Joy Morrissey,4759,25878,Con,Conservative,E14000550,Beaconsfield,3311
Jill Mortimer,4916,25984,Con,Conservative,E14000733,Hartlepool,3519
Wendy Morton,4358,25342,Con,Conservative,E14000531,Aldridge-Brownhills,3290
Dr Kieran Mullan,4860,25883,Con,Conservative,E14000653,Crewe and Nantwich,3431
Holly Mumby-Croft,4867,25804,Con,Conservative,E14000914,Scunthorpe,3717
David Mundell,1512,11970,Con,Conservative,S14000014,"Dumfriesshire, Clydesdale and Tweeddale",914
Ian Murray,3966,24872,Lab,Labour,S14000024,Edinburgh South,1047
James Murray,4797,25801,Lab,Labour (Co-op),E14000675,Ealing North,3456
Mrs Sheryll Murray,4100,24875,Con,Conservative,E14000938,South East Cornwall,3743
Dr Andrew Murrison,1466,11132,Con,Conservative,E14000954,South West Wiltshire,3759
Lisa Nandy,4082,24831,Lab,Labour,E14001039,Wigan,3852
Sir Robert Neill,1601,13736,Con,Conservative,E14000604,Bromley and Chislehurst,3372
Gavin Newlands,4420,25291,SNP,Scottish National Party,S14000052,Paisley and Renfrewshire North,2285
Charlotte Nichols,4799,25885,Lab,Labour,E14001017,Warrington North,3829
Lia Nici,4851,25865,Con,Conservative,E14000716,Great Grimsby,3502
John Nicolson,4415,25281,SNP,Scottish National Party,S14000050,Ochil and South Perthshire,2234
Caroline Nokes,4048,24809,Con,Conservative,E14000901,Romsey and Southampton North,3704
Jesse Norman,3991,24827,Con,Conservative,E14000743,Hereford and South Herefordshire,3529
Alex Norris,4641,25687,Lab,Labour (Co-op),E14000866,Nottingham North,3665
Neil O'Brien,4679,25679,Con,Conservative,E14000728,Harborough,3514
Dr Matthew Offord,4006,24955,Con,Conservative,E14000741,Hendon,3527
Brendan O'Hara,4371,25370,SNP,Scottish National Party,S14000005,Argyll and Bute,67
Sarah Olney,4591,25596,LD,Liberal Democrat,E14000896,Richmond Park,3699
Chi Onwurah,4124,24807,Lab,Labour,E14000831,Newcastle upon Tyne Central,3625
Guy Opperman,4142,24962,Con,Conservative,E14000746,Hexham,3532
Abena Oppong-Asare,4820,25846,Lab,Labour,E14000696,Erith and Thamesmead,3479
Kate Osamor,4515,25365,Lab,Labour (Co-op),E14000687,Edmonton,3470
Kate Osborne,4783,25794,Lab,Labour,E14000765,Jarrow,3552
Kirsten Oswald,4413,25294,SNP,Scottish National Party,S14000021,East Renfrewshire,994
Taiwo Owatemi,4779,25915,Lab,Labour,E14000650,Coventry North West,3428
Sarah Owen,4777,25823,Lab,Labour,E14000800,Luton North,3589
Ian Paisley,4129,13852,DUP,Democratic Unionist Party,N06000012,North Antrim,3634
Priti Patel,4066,24778,Con,Conservative,E14001045,Witham,3858
Mark Pawsey,4052,24880,Con,Conservative,E14000905,Rugby,3708
Stephanie Peacock,4607,25617,Lab,Labour,E14000542,Barnsley East,3303
Sir Mike Penning,1528,11626,Con,Conservative,E14000739,Hemel Hempstead,3525
Matthew Pennycook,4520,25379,Lab,Labour,E14000718,Greenwich and Woolwich,3504
John Penrose,1584,11924,Con,Conservative,E14001038,Weston-Super-Mare,3851
Andrew Percy,3939,24832,Con,Conservative,E14000596,Brigg and Goole,3364
Mr Toby Perkins,3952,24845,Lab,Labour,E14000632,Chesterfield,3408
Jess Phillips,4370,25364,Lab,Labour,E14000568,"Birmingham, Yardley",3333
Bridget Phillipson,4046,24709,Lab,Labour,E14000754,Houghton and Sunderland South,3540
Chris Philp,4503,25377,Con,Conservative,E14000656,Croydon South,3434
Christopher Pincher,4075,24747,Ind,Independent,E14000986,Tamworth,3794
Luke Pollard,4682,25690,Lab,Labour (Co-op),E14000880,"Plymouth, Sutton and Devonport",3680
Dr Dan Poulter,3932,24756,Con,Conservative,E14000624,Central Suffolk and North Ipswich,3399
Rebecca Pow,4522,25407,Con,Conservative,E14000988,Taunton Deane,3796
Lucy Powell,4263,25165,Lab,Labour (Co-op),E14000807,Manchester Central,3596
Victoria Prentis,4401,25420,Con,Conservative,E14000539,Banbury,3300
Mark Pritchard,1576,11946,Con,Conservative,E14000992,The Wrekin,3800
Tom Pursglove,4369,25387,Con,Conservative,E14000648,Corby,3426
Ms Anum Qaisar,4917,26020,SNP,Scottish National Party,S14000003,Airdrie and Shotts,36
Jeremy Quin,4507,25417,Con,Conservative,E14000753,Horsham,3539
Will Quince,4423,25403,Con,Conservative,E14000644,Colchester,3422
Yasmin Qureshi,3924,24775,Lab,Labour,E14000579,Bolton South East,3345
Dominic Raab,4007,24815,Con,Conservative,E14000697,Esher and Walton,3480
Tom Randall,4845,25837,Con,Conservative,E14000710,Gedling,3495
Angela Rayner,4356,25429,Lab,Labour,E14000537,Ashton-under-Lyne,3298
John Redwood,14,10499,Con,Conservative,E14001048,Wokingham,3861
Steve Reed,4268,25170,Lab,Labour (Co-op),E14000655,Croydon North,3433
Christina Rees,4525,25332,Lab,Labour (Co-op),W07000069,Neath,3620
Mr Jacob Rees-Mogg,4099,24926,Con,Conservative,E14000846,North East Somerset,3645
Ellie Reeves,4620,25681,Lab,Labour,E14000788,Lewisham West and Penge,3576
Rachel Reeves,4031,24851,Lab,Labour,E14000781,Leeds West,3569
Jonathan Reynolds,4119,24929,Lab,Labour (Co-op),E14000967,Stalybridge and Hyde,3772
Bell Ribeiro-Addy,4764,25856,Lab,Labour,E14000978,Streatham,3784
Nicola Richards,4868,25834,Con,Conservative,E14001029,West Bromwich East,3841
Angela Richardson,4840,25827,Con,Conservative,E14000719,Guildford,3505
Ms Marie Rimmer,4457,25321,Lab,Labour,E14000963,St Helens South and Whiston,3768
Rob Roberts,4810,25852,Ind,Independent,W07000042,Delyn,3440
Mr Laurence Robertson,253,10505,Con,Conservative,E14000990,Tewkesbury,3798
Gavin Robinson,4360,25280,DUP,Democratic Unionist Party,N06000001,Belfast East,3314
Mary Robinson,4406,25405,Con,Conservative,E14000627,Cheadle,3403
Matt Rodda,4654,25691,Lab,Labour,E14000889,Reading East,3691
Andrew Rosindell,1447,11199,Con,Conservative,E14000900,Romford,3703
Douglas Ross,4627,25531,Con,Conservative,S14000046,Moray,2004
Lee Rowley,4652,25685,Con,Conservative,E14000843,North East Derbyshire,3642
Dean Russell,4812,25828,Con,Conservative,E14001021,Watford,3833
Lloyd Russell-Moyle,4615,25667,Lab,Labour (Co-op),E14000597,"Brighton, Kemptown",3365
David Rutley,4033,24820,Con,Conservative,E14000802,Macclesfield,3591
Gary Sambrook,4760,25887,Con,Conservative,E14000565,"Birmingham, Northfield",3330
Liz Saville Roberts,4521,25302,PC,Plaid Cymru,W07000061,Dwyfor Meirionnydd,3454
Selaine Saxby,4863,25880,Con,Conservative,E14000838,North Devon,3636
Paul Scully,4414,25331,Con,Conservative,E14000984,Sutton and Cheam,3790
Bob Seely,4681,25645,Con,Conservative,E14000762,Isle of Wight,3548
Andrew Selous,1453,11216,Con,Conservative,E14000949,South West Bedfordshire,3754
Naz Shah,4409,25385,Lab,Labour,E14000589,Bradford West,3355
Jim Shannon,4131,13864,DUP,Democratic Unionist Party,N06000016,Strangford,3782
Grant Shapps,1582,11917,Con,Conservative,E14001027,Welwyn Hatfield,3839
Alok Sharma,4014,24902,Con,Conservative,E14000890,Reading West,3692
Mr Virendra Sharma,1604,13934,Lab,Labour,E14000676,"Ealing, Southall",3457
Mr Barry Sheerman,411,10534,Lab,Labour (Co-op),E14000756,Huddersfield,3542
Alec Shelbrooke,3997,24893,Con,Conservative,E14000689,Elmet and Rothwell,3472
Tommy Sheppard,4453,25341,SNP,Scottish National Party,S14000022,Edinburgh East,1035
Tulip Siddiq,4518,25344,Lab,Labour,E14000727,Hampstead and Kilburn,3513
David Simmonds,4872,25892,Con,Conservative,E14000906,"Ruislip, Northwood and Pinner",3709
Chris Skidmore,4021,24713,Con,Conservative,E14000774,Kingswood,3561
Andy Slaughter,1516,11559,Lab,Labour,E14000726,Hammersmith,3512
Alyn Smith,4738,25848,SNP,Scottish National Party,S14000057,Stirling,2784
Cat Smith,4436,25432,Lab,Labour,E14000776,Lancaster and Fleetwood,3564
Chloe Smith,1609,24691,Con,Conservative,E14000863,Norwich North,3662
Greg Smith,4778,25925,Con,Conservative,E14000608,Buckingham,3376
Henry Smith,3960,24802,Con,Conservative,E14000652,Crawley,3430
Jeff Smith,4456,25366,Lab,Labour,E14000809,"Manchester, Withington",3598
Julian Smith,4118,24961,Con,Conservative,E14000928,Skipton and Ripon,3731
Nick Smith,3928,24728,Lab,Labour,W07000072,Blaenau Gwent,3339
Royston Smith,4478,25345,Con,Conservative,E14000955,"Southampton, Itchen",3760
Karin Smyth,4444,25390,Lab,Labour,E14000601,Bristol South,3369
Alex Sobel,4658,25680,Lab,Labour (Co-op),E14000780,Leeds North West,3568
Amanda Solloway,4372,25436,Con,Conservative,E14000662,Derby North,3442
John Spellar,318,10558,Lab,Labour,E14001016,Warley,3828
Dr Ben Spencer,4785,25889,Con,Conservative,E14000907,Runnymede and Weybridge,3710
Mark Spencer,4055,24909,Con,Conservative,E14000924,Sherwood,3727
Alexander Stafford,4866,25864,Con,Conservative,E14000903,Rother Valley,3706
Keir Starmer,4514,25353,Lab,Labour,E14000750,Holborn and St Pancras,3536
Chris Stephens,4463,25306,SNP,Scottish National Party,S14000035,Glasgow South West,1209
Andrew Stephenson,4044,24759,Con,Conservative,E14000875,Pendle,3675
Jo Stevens,4425,25304,Lab,Labour,W07000050,Cardiff Central,3389
Jane Stevenson,4750,25807,Con,Conservative,E14001049,Wolverhampton North East,3862
John Stevenson,3942,24799,Con,Conservative,E14000620,Carlisle,3393
Bob Stewart,3919,24907,Con,Conservative,E14000551,Beckenham,3312
Iain Stewart,4015,24947,Con,Conservative,E14000822,Milton Keynes South,3613
Jamie Stone,4612,25668,LD,Liberal Democrat,S14000009,"Caithness, Sutherland and Easter Ross",543
Sir Gary Streeter,234,10575,Con,Conservative,E14000950,South West Devon,3755
Wes Streeting,4504,25320,Lab,Labour,E14000759,Ilford North,3545
Mel Stride,3935,24914,Con,Conservative,E14000623,Central Devon,3398
Graham Stringer,449,10576,Lab,Labour,E14000571,Blackley and Broughton,3336
Graham Stuart,1482,11406,Con,Conservative,E14000556,Beverley and Holderness,3321
Julian Sturdy,4079,24853,Con,Conservative,E14001062,York Outer,3877
Zarah Sultana,4786,25909,Lab,Labour,E14000651,Coventry South,3429
Rishi Sunak,4483,25428,Con,Conservative,E14000895,Richmond (Yorks),3698
James Sunderland,4767,25860,Con,Conservative,E14000586,Bracknell,3352
Sir Desmond Swayne,55,10580,Con,Conservative,E14000828,New Forest West,3622
Sir Robert Syms,245,10582,Con,Conservative,E14000881,Poole,3682
Mark Tami,1383,11267,Lab,Labour,W07000043,Alyn and Deeside,3292
Sam Tarry,4829,25912,Lab,Labour,E14000760,Ilford South,3546
Alison Thewliss,4430,25327,SNP,Scottish National Party,S14000029,Glasgow Central,1203
Derek Thomas,4532,25440,Con,Conservative,E14000964,St Ives,3769
Gareth Thomas,177,10594,Lab,Labour (Co-op),E14000732,Harrow West,3518
Nick Thomas-Symonds,4479,25279,Lab,Labour,W07000053,Torfaen,3808
Owen Thompson,4482,25278,SNP,Scottish National Party,S14000045,Midlothian,1977
Richard Thomson,4796,25919,SNP,Scottish National Party,S14000037,Gordon,1284
Emily Thornberry,1536,11656,Lab,Labour,E14000764,Islington South and Finsbury,3550
Maggie Throup,4447,25371,Con,Conservative,E14000695,Erewash,3478
Sir Stephen Timms,163,10596,Lab,Labour,E14000679,East Ham,3461
Edward Timpson,1605,14128,Con,Conservative,E14000686,Eddisbury,3469
Kelly Tolhurst,4487,25430,Con,Conservative,E14000898,Rochester and Strood,3701
Justin Tomlinson,4105,24870,Con,Conservative,E14000851,North Swindon,3650
Michael Tomlinson,4497,25422,Con,Conservative,E14000815,Mid Dorset and North Poole,3605
Craig Tracey,4509,25290,Con,Conservative,E14000854,North Warwickshire,3653
Anne-Marie Trevelyan,4531,25439,Con,Conservative,E14000554,Berwick-upon-Tweed,3319
Jon Trickett,410,10604,Lab,Labour,E14000740,Hemsworth,3526
Laura Trott,4780,25851,Con,Conservative,E14000918,Sevenoaks,3721
Elizabeth Truss,4097,24941,Con,Conservative,E14000952,South West Norfolk,3757
Tom Tugendhat,4462,25374,Con,Conservative,E14000997,Tonbridge and Malling,3805
Karl Turner,4030,24767,Lab,Labour,E14000771,Kingston upon Hull East,3558
Derek Twigg,429,10610,Lab,Labour,E14000725,Halton,3511
Liz Twist,4618,25623,Lab,Labour,E14000574,Blaydon,3340
Shailesh Vara,1496,11475,Con,Conservative,E14000855,North West Cambridgeshire,3654
Valerie Vaz,4076,24852,Lab,Labour,E14001012,Walsall South,3824
Martin Vickers,3957,24814,Con,Conservative,E14000643,Cleethorpes,3419
Matt Vickers,4844,25853,Con,Conservative,E14000971,Stockton South,3776
Theresa Villiers,1500,11500,Con,Conservative,E14000636,Chipping Barnet,3412
Christian Wakeford,4871,25874,Lab,Labour,E14000612,Bury South,3380
Sir Charles Walker,1493,11461,Con,Conservative,E14000606,Broxbourne,3374
Mr Robin Walker,4091,24862,Con,Conservative,E14001052,Worcester,3865
Mr Ben Wallace,1539,11668,Con,Conservative,E14001057,Wyre and Preston North,3871
Dr Jamie Wallis,4766,25829,Con,Conservative,W07000073,Bridgend,3362
David Warburton,4526,25372,Ind,Independent,E14000932,Somerton and Frome,3735
Matt Warman,4361,25395,Con,Conservative,E14000582,Boston and Skegness,3348
Giles Watling,4677,25644,Con,Conservative,E14000642,Clacton,3418
Suzanne Webb,4802,25926,Con,Conservative,E14000976,Stourbridge,3781
Claudia Webbe,4848,25797,Ind,Independent,E14000782,Leicester East,3570
Catherine West,4523,25328,Lab,Labour,E14000752,Hornsey and Wood Green,3538
Matt Western,4617,25701,Lab,Labour,E14001019,Warwick and Leamington,3831
Helen Whately,4527,25398,Con,Conservative,E14000700,Faversham and Mid Kent,3483
Mrs Heather Wheeler,4053,24769,Con,Conservative,E14000935,South Derbyshire,3739
Dr Alan Whitehead,62,10630,Lab,Labour,E14000956,"Southampton, Test",3761
Dr Philippa Whitford,4385,25318,SNP,Scottish National Party,S14000010,Central Ayrshire,614
Mick Whitley,4755,25798,Lab,Labour,E14000559,Birkenhead,3324
Craig Whittaker,3940,24944,Con,Conservative,E14000614,Calder Valley,3383
Mr John Whittingdale,39,10632,Con,Conservative,E14000806,Maldon,3595
Nadia Whittome,4869,25845,Lab,Labour,E14000865,Nottingham East,3664
Sir Bill Wiggin,1428,11318,Con,Conservative,E14000847,North Herefordshire,3646
James Wild,4787,25866,Con,Conservative,E14000859,North West Norfolk,3658
Craig Williams,4438,25329,Con,Conservative,W07000063,Montgomeryshire,3617
Hywel Williams,1397,11323,PC,Plaid Cymru,W07000057,Arfon,3294
Sir Gavin Williamson,4108,24729,Con,Conservative,E14000945,South Staffordshire,3750
Munira Wilson,4776,25820,LD,Liberal Democrat,E14001005,Twickenham,3814
Sammy Wilson,1593,11374,DUP,Democratic Unionist Party,N06000005,East Antrim,3459
Beth Winter,4809,25826,Lab,Labour,W07000070,Cynon Valley,3435
Dame Rosie Winterton,390,10648,Lab,Labour,E14000668,Doncaster Central,3448
Pete Wishart,1440,11333,SNP,Scottish National Party,S14000054,Perth and North Perthshire,2316
Mike Wood,4384,25362,Con,Conservative,E14000672,Dudley South,3452
Mr William Wragg,4429,25360,Con,Conservative,E14000738,Hazel Grove,3524
Sir Jeremy  Wright,1560,11791,Con,Conservative,E14000767,Kenilworth and Southam,3554
Mohammad Yasin,4598,25649,Lab,Labour,E14000552,Bedford,3313
Jacob Young,4825,25806,Con,Conservative,E14000891,Redcar,3693
Nadhim Zahawi,4113,24822,Con,Conservative,E14000977,Stratford-on-Avon,3783
Daniel Zeichner,4382,25386,Lab,Labour,E14000617,Cambridge,3386
